           M00      M02       M11      M20  	M03  	 M12  	  M21  	     M30   
 3 - 4    1.575    1.734    -1.152    1.865    -1.785    0.801    -2.694    0.857      
  
 3 - 5    1.011    1.139    1.570    0.715    -1.911    -1.124    -0.199    0.350      
  
 3 - 6    0.689    0.333    0.619    0.790    -0.478    -0.637    -0.675    0.808      
  
 3 - 7    1.208    1.064    -1.099    1.417    -1.323    0.138    -1.617    1.220      
  
 3 - 8    0.840    0.493    -0.118    1.091    -0.367    0.582    -1.140    -0.033      
  
 3 - 9    0.971    0.448    0.368    1.121    -0.208    -0.029    -1.071    0.556      
  
 3 - 10    0.912    1.147    2.158    1.209    -1.882    -1.683    -1.289    1.230      
  
 mean(3)   1.086    0.964    0.131    1.246    -1.132    -0.136    -1.456    0.504       
 var(3)    0.063    0.216    1.505    0.116    0.418    0.901    0.753    0.239      
  
  
 4 - 1    0.788    1.638    0.252    0.525    -4.100    -2.217    1.784    0.301      
  
 4 - 2    0.853    0.832    -1.150    0.546    0.455    -1.298    1.102    -0.200      
  
 4 - 3    1.260    2.131    1.243    0.886    -3.368    -1.462    1.932    0.025      
  
 4 - 4    0.610    0.286    -0.014    0.477    -0.264    -0.661    0.109    0.637      
  
 4 - 5    0.768    0.591    -0.761    0.559    1.112    0.202    -1.258    1.060      
  
 4 - 6    1.142    1.081    0.679    0.871    -1.663    -0.805    1.685    0.786      
  
 4 - 7    1.103    2.186    0.389    0.602    -1.183    -0.189    0.744    -0.475      
  
 4 - 8    0.755    0.499    -0.967    0.526    0.403    -0.297    -0.281    0.631      
  
 4 - 9    1.044    1.281    -0.745    0.825    0.195    -1.242    1.232    -0.315      
  
 4 - 10    1.031    1.335    -1.195    0.735    1.370    -2.315    0.295    0.815      
  
 mean(4)   0.935    1.186    -0.227    0.655    -0.704    -1.029    0.734    0.326       
 var(4)    0.039    0.390    0.653    0.022    3.094    0.631    0.941    0.260      
  
  
 5 - 1    1.090    0.956    -1.115    1.435    -0.140    0.252    -1.602    0.688      
  
 5 - 2    0.597    0.758    -1.230    0.354    0.969    -0.812    0.472    -0.024      
  
 5 - 3    0.643    0.683    -1.270    0.472    -0.015    -0.143    0.183    0.015      
  
 5 - 4    0.729    0.871    -1.710    0.758    1.509    -1.498    0.886    -0.057      
  
 5 - 5    0.676    0.905    -1.409    0.435    1.789    -1.030    0.068    0.357      
  
 5 - 6    0.696    0.318    0.284    0.774    0.092    -0.167    1.468    0.344      
  
 5 - 7    0.670    0.172    -0.291    0.827    -0.233    0.467    -0.821    -0.193      
  
 5 - 8    1.116    0.878    -0.591    1.217    -0.585    0.969    0.537    -1.132      
  
 5 - 9    0.834    1.062    -1.384    0.554    2.384    -2.022    0.780    0.181      
  
 5 - 10    0.676    0.796    -1.231    0.372    0.720    -0.561    0.285    -0.011      
  
 mean(5)   0.773    0.740    -0.995    0.720    0.649    -0.455    0.225    0.017       
 var(5)    0.031    0.072    0.333    0.120    0.883    0.757    0.691    0.207      
  
  
 6 - 1    1.103    0.812    -0.499    0.892    0.257    0.623    0.212    -1.452      
  
 6 - 2    0.702    0.341    -0.213    0.718    0.034    0.309    0.764    -0.936      
  
 6 - 3    0.788    0.465    0.157    0.778    0.341    0.486    0.221    -1.930      
  
 6 - 4    1.076    0.521    0.224    0.969    0.192    0.669    0.658    -1.614      
  
 6 - 5    1.050    0.647    0.073    0.802    0.297    0.322    -0.439    -0.876      
  
 6 - 6    1.057    0.529    -0.330    0.961    0.070    0.180    0.726    -0.919      
  
 6 - 7    0.866    0.559    -0.463    0.681    0.029    0.483    0.496    -0.977      
  
 6 - 8    1.070    0.644    -0.456    0.842    0.090    0.715    0.088    -1.439      
  
 6 - 9    0.926    0.750    -0.447    0.716    0.179    0.822    -0.196    -1.121      
  
 6 - 10    1.162    0.980    -0.429    1.027    0.181    0.366    1.303    -1.836      
  
 mean(6)   0.980    0.625    -0.238    0.839    0.167    0.497    0.383    -1.310       
 var(6)    0.021    0.031    0.072    0.013    0.011    0.038    0.235    0.142      
  
  
 7 - 1    0.945    0.770    -0.875    0.858    0.072    -0.819    -1.136    1.656      
  
 7 - 2    0.670    0.495    -0.539    0.374    -0.651    -0.477    -0.637    0.495      
  
 7 - 3    0.932    0.973    0.494    0.651    -0.531    -0.598    -0.634    0.198      
  
 7 - 4    0.545    0.174    0.026    0.590    -0.277    -0.473    -0.111    1.343      
  
 7 - 5    1.031    1.022    0.530    1.107    -1.167    -2.410    -0.456    2.679      
  
 7 - 6    0.853    0.749    -1.246    0.827    0.199    0.042    -2.147    2.050      
  
 7 - 7    0.886    0.754    -1.316    0.822    0.187    -0.160    -1.662    1.832      
  
 7 - 8    0.715    0.676    0.532    0.958    -1.858    -2.635    -1.059    1.709      
  
 7 - 9    0.971    1.034    -1.224    0.910    -0.283    -0.085    -2.380    2.121      
  
 7 - 10    0.702    0.247    -0.219    0.801    -0.122    -0.651    -0.440    1.451      
  
 mean(7)   0.825    0.689    -0.384    0.790    -0.443    -0.827    -1.066    1.553       
 var(7)    0.022    0.082    0.522    0.038    0.381    0.786    0.530    0.496      
  
  
 8 - 1    1.057    0.765    -1.765    1.034    0.727    -0.653    -0.186    0.602      
  
 8 - 2    1.149    1.176    -2.474    1.191    0.209    0.266    -0.586    0.154      
  
 8 - 3    1.063    0.579    -1.118    1.068    0.144    -0.261    -0.018    0.468      
  
 8 - 4    1.017    0.532    -0.273    1.091    -0.100    -0.327    0.467    0.847      
  
 8 - 5    1.227    0.997    -1.907    1.386    1.095    -1.052    -0.662    1.395      
  
 8 - 6    1.063    0.840    -1.741    1.240    0.256    -0.075    -0.647    0.680      
  
 8 - 7    1.037    0.561    -0.979    1.084    0.436    -0.577    -0.511    0.717      
  
 8 - 8    1.149    0.812    -1.581    1.273    0.598    -0.556    -0.556    0.674      
  
 8 - 9    1.063    0.637    -1.217    1.171    0.426    -0.450    0.204    0.245      
  
 8 - 10    0.847    0.346    -0.970    0.894    0.108    0.087    -0.936    0.722      
  
 mean(8)   1.067    0.724    -1.403    1.143    0.390    -0.360    -0.343    0.651       
 var(8)    0.009    0.054    0.344    0.017    0.109    0.134    0.176    0.105      
  
  
 9 - 1    0.932    0.561    0.088    0.828    -0.580    -0.685    1.630    1.664      
  
 9 - 2    0.715    0.321    -0.904    0.726    0.066    0.291    -1.306    1.178      
  
 9 - 3    0.709    0.308    -0.664    0.582    0.192    -0.267    -0.257    0.627      
  
 9 - 4    0.853    0.577    -1.461    0.860    -0.296    1.024    -2.210    1.519      
  
 9 - 5    0.696    0.228    -0.583    0.714    0.046    -0.050    -0.842    1.274      
  
 9 - 6    0.952    0.567    -0.382    0.824    -0.136    -0.840    -0.119    1.738      
  
 9 - 7    0.735    0.271    0.592    0.848    -0.043    0.078    -0.313    0.534      
  
 9 - 8    0.965    0.901    -0.181    0.848    0.185    -2.306    -0.001    2.088      
  
 9 - 9    0.768    0.375    -0.674    0.685    0.083    -0.259    -0.778    1.228      
  
 9 - 10    1.070    0.805    -0.000    1.176    0.034    0.475    -0.171    0.122      
  
 mean(9)   0.840    0.491    -0.417    0.809    -0.045    -0.254    -0.437    1.197       
 var(9)    0.016    0.048    0.298    0.022    0.051    0.735    0.886    0.333      
  
  
 0 - 1    1.155    1.385    -1.424    1.160    0.008    0.952    -0.479    0.354      
  
 0 - 2    1.300    1.742    -1.658    1.221    -1.558    0.984    0.181    0.325      
  
 0 - 3    1.201    0.844    -1.185    1.114    0.051    0.072    -0.122    -0.028      
  
 0 - 4    1.313    1.191    -1.389    1.123    -0.197    0.496    -0.149    -0.200      
  
 0 - 5    1.536    2.214    -1.489    1.687    -0.917    1.051    -0.167    0.724      
  
 0 - 6    1.437    2.046    0.055    1.530    0.910    1.006    0.409    0.609      
  
 0 - 7    1.575    2.177    -1.809    1.389    -0.430    1.913    -0.773    0.202      
  
 0 - 8    0.906    1.829    0.395    1.137    0.134    0.897    0.240    0.113      
  
 0 - 9    1.392    1.135    -0.523    1.436    -0.209    0.497    0.201    0.257      
  
 0 - 10    1.221    1.186    -1.396    1.233    -0.813    0.930    0.062    -0.025      
  
 mean(0)   1.304    1.575    -1.042    1.303    -0.302    0.880    -0.060    0.233       
 var(0)    0.035    0.215    0.512    0.035    0.413    0.208    0.116    0.074      
  
  
 
Overall RMS 152.348    2996.810    1341.312    4855.596    4009.519    3677.048    3902.261    7851.777      
 

Covariance matrix of the digit (1) : (multiplier: 100.00)
    1.7097    2.1152   -0.7022    1.6955   -1.4452    4.1200    0.3535   -3.3768
    2.1152    3.7762   -7.1772    1.7961   -2.1833    4.5210    1.5555   -3.4252
   -0.7022   -7.1772   41.8282    0.9202   -0.1224    5.5178   -4.0668   -4.9385
    1.6955    1.7961    0.9202    1.9112   -0.7601    3.6675    0.1750   -3.8026
   -1.4452   -2.1833   -0.1224   -0.7601    5.6470   -7.3532   -2.9879    3.0730
    4.1200    4.5210    5.5178    3.6675   -7.3532   15.0494    1.6148   -9.2396
    0.3535    1.5555   -4.0668    0.1750   -2.9879    1.6148    5.4702   -1.9156
   -3.3768   -3.4252   -4.9385   -3.8026    3.0730   -9.2396   -1.9156    9.4672


Inverse covariance matrix of the digit (1) : (multiplier: 0.001)
   48.2783   -3.2410    1.5337  -39.2805   11.1516    1.8716    5.9015    0.4709
   -3.2410    1.3913    0.1467    2.0673   -1.0186   -0.5898   -0.5621   -0.1045
    1.5337    0.1467    0.1058   -1.3458    0.2917   -0.0431    0.1563    0.0096
  -39.2805    2.0673   -1.3458   32.8214   -9.2581   -1.5267   -4.7880   -0.2353
   11.1516   -1.0186    0.2917   -9.2581    3.2720    1.0067    1.6779    0.3025
    1.8716   -0.5898   -0.0431   -1.5267    1.0067    0.6177    0.4996    0.1956
    5.9015   -0.5621    0.1563   -4.7880    1.6779    0.4996    0.8998    0.1850
    0.4709   -0.1045    0.0096   -0.2353    0.3025    0.1956    0.1850    0.1813




Covariance matrix of the digit (2) : (multiplier: 100.00)
    5.5196    7.0947    1.2426    8.1345  -17.7645  -10.6498   -3.6666    8.0340
    7.0947   12.1314    3.5877    7.5314  -11.1020  -17.7949   -8.8714   19.0544
    1.2426    3.5877   69.2707   10.9546  -30.2979 -104.2281  -18.5673   71.0168
    8.1345    7.5314   10.9546   17.8760  -44.3574  -30.8373   -1.1131   15.7044
  -17.7645  -11.1020  -30.2979  -44.3574  191.3764  114.1466   40.0670  -39.3259
  -10.6498  -17.7949 -104.2281  -30.8373  114.1466  209.8459   62.7310 -125.9206
   -3.6666   -8.8714  -18.5673   -1.1131   40.0670   62.7310   75.9085  -14.2259
    8.0340   19.0544   71.0168   15.7044  -39.3259 -125.9206  -14.2259  126.4722


Inverse covariance matrix of the digit (2) : (multiplier: 0.001)
    6.3467   -3.2541   -0.4362   -1.4830    0.2947   -0.5029    0.0796    0.1161
   -3.2541    1.7221    0.2413    0.7146   -0.1612    0.2574   -0.0279   -0.0739
   -0.4362    0.2413    0.0461    0.0880   -0.0255    0.0418   -0.0037   -0.0122
   -1.4830    0.7146    0.0880    0.4026   -0.0567    0.1200   -0.0327   -0.0147
    0.2947   -0.1612   -0.0255   -0.0567    0.0177   -0.0252    0.0012    0.0074
   -0.5029    0.2574    0.0418    0.1200   -0.0252    0.0480   -0.0098   -0.0064
    0.0796   -0.0279   -0.0037   -0.0327    0.0012   -0.0098    0.0073   -0.0032
    0.1161   -0.0739   -0.0122   -0.0147    0.0074   -0.0064   -0.0032    0.0088




Covariance matrix of the digit (3) : (multiplier: 100.00)
    6.3164    9.9949  -14.9693    7.5454   -8.4128    7.1219  -16.3861    0.1562
    9.9949   21.6459   -4.0078   11.5199  -25.4782   -6.8078  -27.3762    4.1808
  -14.9693   -4.0078  150.4707  -20.0641  -27.1776 -106.6202   19.6436    4.5869
    7.5454   11.5199  -20.0641   11.5622   -7.6613    9.8561  -26.5039    1.4206
   -8.4128  -25.4782  -27.1776   -7.6613   41.8091   31.4020   21.9324   -9.5191
    7.1219   -6.8078 -106.6202    9.8561   31.4020   90.0785   -2.1107  -13.2583
  -16.3861  -27.3762   19.6436  -26.5039   21.9324   -2.1107   75.3347    2.6639
    0.1562    4.1808    4.5869    1.4206   -9.5191  -13.2583    2.6639   23.8957


Inverse covariance matrix of the digit (3) : (multiplier: 0.001)
    0.3024   -0.1292    0.0087    0.0017   -0.0047   -0.0210    0.0178    0.0033
   -0.1292    0.1825    0.0162   -0.1541    0.0628    0.0413   -0.0383    0.0272
    0.0087    0.0162    0.0106   -0.0199    0.0092    0.0131   -0.0046    0.0077
    0.0017   -0.1541   -0.0199    0.4001   -0.0522   -0.0677    0.1059   -0.0632
   -0.0047    0.0628    0.0092   -0.0522    0.0356    0.0108   -0.0095    0.0116
   -0.0210    0.0413    0.0131   -0.0677    0.0108    0.0269   -0.0198    0.0158
    0.0178   -0.0383   -0.0046    0.1059   -0.0095   -0.0198    0.0325   -0.0172
    0.0033    0.0272    0.0077   -0.0632    0.0116    0.0158   -0.0172    0.0170




Covariance matrix of the digit (4) : (multiplier: 100.00)
    3.9184    9.5519    7.7859    2.6243  -10.8944   -3.5945   11.3420   -3.9179
    9.5519   38.9938   28.9485    4.5656  -66.8357  -18.1189   38.1343  -18.7239
    7.7859   28.9485   65.2579    4.8474 -119.4424   -0.0361   46.3999   -7.3817
    2.6243    4.5656    4.8474    2.2491   -5.5856   -3.3041    7.8832   -1.0214
  -10.8944  -66.8357 -119.4424   -5.5856  309.4199   46.1035 -127.2334   24.6290
   -3.5945  -18.1189   -0.0361   -3.3041   46.1035   63.1178  -46.1190    4.8160
   11.3420   38.1343   46.3999    7.8832 -127.2334  -46.1190   94.0722  -26.5162
   -3.9179  -18.7239   -7.3817   -1.0214   24.6290    4.8160  -26.5162   25.9924


Inverse covariance matrix of the digit (4) : (multiplier: 0.001)
    1.8022   -0.4552    0.0057   -0.9749   -0.1045   -0.1521   -0.2247   -0.1950
   -0.4552    0.1305   -0.0057    0.2102    0.0298    0.0456    0.0681    0.0648
    0.0057   -0.0057    0.0148   -0.0167    0.0045   -0.0078   -0.0039   -0.0065
   -0.9749    0.2102   -0.0167    0.7403    0.0339    0.0693    0.0755    0.0609
   -0.1045    0.0298    0.0045    0.0339    0.0103    0.0089    0.0182    0.0154
   -0.1521    0.0456   -0.0078    0.0693    0.0089    0.0216    0.0280    0.0266
   -0.2247    0.0681   -0.0039    0.0755    0.0182    0.0280    0.0463    0.0418
   -0.1950    0.0648   -0.0065    0.0609    0.0154    0.0266    0.0418    0.0449




Covariance matrix of the digit (5) : (multiplier: 100.00)
    3.0660    2.0325    0.7684    5.2795   -5.5911    6.3354   -4.8379   -1.9463
    2.0325    7.2065  -11.9914    0.3187   13.0250  -10.6259   -0.3300    0.6509
    0.7684  -11.9914   33.3005    6.5052  -34.0819   31.2361    5.1439   -4.0924
    5.2795    0.3187    6.5052   12.0038  -18.5968   18.0125  -13.2057   -1.9776
   -5.5911   13.0250  -34.0819  -18.5968   88.3153  -78.8851   27.5036   14.8621
    6.3354  -10.6259   31.2361   18.0125  -78.8851   75.6993  -30.3018  -16.1933
   -4.8379   -0.3300    5.1439  -13.2057   27.5036  -30.3018   69.1147   -9.8193
   -1.9463    0.6509   -4.0924   -1.9776   14.8621  -16.1933   -9.8193   20.7121


Inverse covariance matrix of the digit (5) : (multiplier: 0.001)
    4.8904   -2.7562   -0.9219   -1.3983    0.2131    0.3466    0.2651    0.4743
   -2.7562    1.6474    0.5684    0.7494   -0.1545   -0.2398   -0.1681   -0.2832
   -0.9219    0.5684    0.2095    0.2422   -0.0615   -0.0998   -0.0653   -0.1048
   -1.3983    0.7494    0.2422    0.4300   -0.0457   -0.0815   -0.0659   -0.1282
    0.2131   -0.1545   -0.0615   -0.0457    0.0430    0.0581    0.0232    0.0339
    0.3466   -0.2398   -0.0998   -0.0815    0.0581    0.0874    0.0383    0.0574
    0.2651   -0.1681   -0.0653   -0.0659    0.0232    0.0383    0.0241    0.0358
    0.4743   -0.2832   -0.1048   -0.1282    0.0339    0.0574    0.0358    0.0628




Covariance matrix of the digit (6) : (multiplier: 100.00)
    2.0630    1.8390   -0.7283    1.3039    0.2921    0.2948    0.5917   -1.2596
    1.8390    3.0861   -2.3428    0.9019    0.5060    0.8705    0.4719   -2.1777
   -0.7283   -2.3428    7.2192    0.2116    1.4578   -0.7498   -1.8647   -2.2543
    1.3039    0.9019    0.2116    1.3000    0.1964   -0.4155    2.8828   -1.9760
    0.2921    0.5060    1.4578    0.1964    1.0829    0.3407   -2.1457   -2.0018
    0.2948    0.8705   -0.7498   -0.4155    0.3407    3.8267   -3.8361   -2.3671
    0.5917    0.4719   -1.8647    2.8828   -2.1457   -3.8361   23.5177   -5.5700
   -1.2596   -2.1777   -2.2543   -1.9760   -2.0018   -2.3671   -5.5700   14.1697


Inverse covariance matrix of the digit (6) : (multiplier: 0.001)
    1.4607   -0.7085   -0.1602   -1.6625    1.0062    0.0256    0.2682    0.0155
   -0.7085    0.5295    0.1790    0.6965   -0.7749   -0.0624   -0.1534   -0.0362
   -0.1602    0.1790    0.0936    0.1285   -0.2973   -0.0224   -0.0426   -0.0164
   -1.6625    0.6965    0.1285    2.1007   -1.0695   -0.0042   -0.3188   -0.0045
    1.0062   -0.7749   -0.2973   -1.0695    1.6890    0.2131    0.3286    0.1773
    0.0256   -0.0624   -0.0224   -0.0042    0.2131    0.0937    0.0465    0.0526
    0.2682   -0.1534   -0.0426   -0.3188    0.3286    0.0465    0.0823    0.0356
    0.0155   -0.0362   -0.0164   -0.0045    0.1773    0.0526    0.0356    0.0475




Covariance matrix of the digit (7) : (multiplier: 100.00)
    2.2387    3.9499   -1.9275    1.8011    0.8519   -1.0316   -5.0793    4.3177
    3.9499    8.2382   -1.5369    2.9408   -2.5870   -4.1466  -10.8847    5.9903
   -1.9275   -1.5369   52.2356    1.0926  -34.1120  -47.8026   39.9685  -11.7206
    1.8011    2.9408    1.0926    3.8296   -2.9946   -9.0855   -4.5058   11.5552
    0.8519   -2.5870  -34.1120   -2.9946   38.0909   48.2718  -15.3439   -1.2438
   -1.0316   -4.1466  -47.8026   -9.0855   48.2718   78.5510  -25.9243  -17.9645
   -5.0793  -10.8847   39.9685   -4.5058  -15.3439  -25.9243   53.0331  -20.7230
    4.3177    5.9903  -11.7206   11.5552   -1.2438  -17.9645  -20.7230   49.5746


Inverse covariance matrix of the digit (7) : (multiplier: 0.001)
    4.5768   -2.3481    0.4667   -2.0678   -0.1224   -0.0830   -0.5658    0.2078
   -2.3481    1.2340   -0.2467    1.0461    0.0570    0.0468    0.3027   -0.1018
    0.4667   -0.2467    0.0946   -0.3459    0.0370   -0.0353   -0.0978    0.0394
   -2.0678    1.0461   -0.3459    1.5753   -0.1304    0.1668    0.3860   -0.1767
   -0.1224    0.0570    0.0370   -0.1304    0.0840   -0.0519   -0.0357    0.0113
   -0.0830    0.0468   -0.0353    0.1668   -0.0519    0.0440    0.0440   -0.0126
   -0.5658    0.3027   -0.0978    0.3860   -0.0357    0.0440    0.1126   -0.0383
    0.2078   -0.1018    0.0394   -0.1767    0.0113   -0.0126   -0.0383    0.0264




Covariance matrix of the digit (8) : (multiplier: 100.00)
    0.9110    1.8561   -3.4378    1.1380    1.9816   -1.6759    0.0336    0.5575
    1.8561    5.3628  -11.9807    2.2892    3.5299   -0.4906   -2.4302   -0.3167
   -3.4378  -11.9807   34.3823   -3.9909   -9.9390   -1.2733   12.8667    3.1499
    1.1380    2.2892   -3.9909    1.7436    2.5279   -2.1424   -0.5665    1.3800
    1.9816    3.5299   -9.9390    2.5279   10.8821   -9.5907   -4.2930    5.1694
   -1.6759   -0.4906   -1.2733   -2.1424   -9.5907   13.4257   -2.4195   -7.6571
    0.0336   -2.4302   12.8667   -0.5665   -4.2930   -2.4195   17.6449   -3.1355
    0.5575   -0.3167    3.1499    1.3800    5.1694   -7.6571   -3.1355   10.5052


Inverse covariance matrix of the digit (8) : (multiplier: 0.001)
    4.0770   -0.8830    0.3123   -1.0059    1.2211    1.3830    0.1408    0.2448
   -0.8830    0.7289    0.2085   -0.0435    0.0317   -0.1370   -0.0853   -0.1289
    0.3123    0.2085    0.2143   -0.1550    0.3871    0.3061   -0.0009   -0.0218
   -1.0059   -0.0435   -0.1550    0.5382   -0.3326   -0.3191   -0.0061   -0.0429
    1.2211    0.0317    0.3871   -0.3326    1.0496    0.9445    0.1059    0.0674
    1.3830   -0.1370    0.3061   -0.3191    0.9445    0.9100    0.1186    0.1065
    0.1408   -0.0853   -0.0009   -0.0061    0.1059    0.1186    0.0429    0.0381
    0.2448   -0.1289   -0.0218   -0.0429    0.0674    0.1065    0.0381    0.0607




Covariance matrix of the digit (9) : (multiplier: 100.00)
    1.5928    2.5418    1.9144    1.5214   -0.8327   -3.0696    4.7256    1.0519
    2.5418    4.7873    1.5563    2.2491   -0.4804   -7.9420    5.1273    3.5881
    1.9144    1.5563   29.8450    3.0224   -0.8219  -17.1230   37.7707   -8.5786
    1.5214    2.2491    3.0224    2.2409   -0.7403    1.8817    1.8522   -2.3215
   -0.8327   -0.4804   -0.8219   -0.7403    5.0968   -3.7563   -7.0243   -3.8701
   -3.0696   -7.9420  -17.1230    1.8817   -3.7563   73.5262  -45.5838  -29.2633
    4.7256    5.1273   37.7707    1.8522   -7.0243  -45.5838   88.6265    4.5859
    1.0519    3.5881   -8.5786   -2.3215   -3.8701  -29.2633    4.5859   33.3468


Inverse covariance matrix of the digit (9) : (multiplier: 0.001)
    2.1798    0.7304    0.6490   -2.6941    1.3451    0.7801    0.0950    0.6597
    0.7304    2.6228    1.1173   -4.0020    2.6162    1.5601    0.3579    1.3271
    0.6490    1.1173    0.5509   -1.9783    1.2603    0.7422    0.1559    0.6395
   -2.6941   -4.0020   -1.9783    7.4417   -4.4106   -2.6330   -0.5259   -2.2254
    1.3451    2.6162    1.2603   -4.4106    3.2046    1.8165    0.4375    1.5990
    0.7801    1.5601    0.7422   -2.6330    1.8165    1.0506    0.2439    0.9144
    0.0950    0.3579    0.1559   -0.5259    0.4375    0.2439    0.0688    0.2173
    0.6597    1.3271    0.6395   -2.2254    1.5990    0.9144    0.2173    0.8071




Covariance matrix of the digit (0) : (multiplier: 100.00)
    3.5116    3.6664   -5.9160    2.6561   -2.1470    3.6106   -1.9572    2.3191
    3.6664   21.4701    2.5229    5.5062   -1.9761   16.8574   -1.6292    8.8122
   -5.9160    2.5229   51.1893    0.6136   31.2522   -7.6432   16.8435    2.3321
    2.6561    5.5062    0.6136    3.5141   -0.2316    3.2878    0.4792    4.1460
   -2.1470   -1.9761   31.2522   -0.2316   41.2982   -5.7189    3.5428    0.2462
    3.6106   16.8574   -7.6432    3.2878   -5.7189   20.7936   -7.0509    4.7152
   -1.9572   -1.6292   16.8435    0.4792    3.5428   -7.0509   11.5752    1.1053
    2.3191    8.8122    2.3321    4.1460    0.2462    4.7152    1.1053    7.4429


Inverse covariance matrix of the digit (0) : (multiplier: 0.001)
    0.3322   -0.0223    0.0874   -0.3309   -0.0487   -0.0119   -0.0621    0.0982
   -0.0223    0.0349   -0.0130    0.0152    0.0071   -0.0213    0.0068   -0.0265
    0.0874   -0.0130    0.0371   -0.0805   -0.0222   -0.0031   -0.0356    0.0294
   -0.3309    0.0152   -0.0805    0.4181    0.0446    0.0109    0.0522   -0.1387
   -0.0487    0.0071   -0.0222    0.0446    0.0159    0.0031    0.0218   -0.0168
   -0.0119   -0.0213   -0.0031    0.0109    0.0031    0.0252    0.0129    0.0059
   -0.0621    0.0068   -0.0356    0.0522    0.0218    0.0129    0.0522   -0.0232
    0.0982   -0.0265    0.0294   -0.1387   -0.0168    0.0059   -0.0232    0.0825




Inverse-Cov-Dataset-A
  171.6833  -37.9480    4.6894  -77.9192   -1.3107   -1.4659   -1.9400    2.4523
  -37.9480   19.1314   -0.1674   10.7721    1.0589    1.2029    0.2012   -0.2342
    4.6894   -0.1674    2.8792   -2.1182    0.6987    0.8776   -0.5820    0.1614
  -77.9192   10.7721   -2.1182   61.2355    2.8056   -0.2074    2.3128   -2.8134
   -1.3107    1.0589    0.6987    2.8056    1.9619   -0.1147    0.1266   -0.3251
   -1.4659    1.2029    0.8776   -0.2074   -0.1147    2.6193    0.4265    1.6852
   -1.9400    0.2012   -0.5820    2.3128    0.1266    0.4265    2.4208    0.7732
    2.4523   -0.2342    0.1614   -2.8134   -0.3251    1.6852    0.7732    4.5398



Covariance and inverse covariance matrix values at the following index:  (Class 10 is digit 0) 
                            Covariance First Index         Covariance Second Index         Inverse Convariance First           Inverse covariance second
Class 1 : [5, 7] , [3, 7]             -0.030                         -0.041                          1677.878                             156.295            
Class 2 : [6, 7] , [5, 1]              0.627                         -0.178                          -9.774                             294.692            
Class 3 : [4, 1] , [4, 2]              0.075                         0.115                          1.740                             -154.079            
Class 4 : [3, 8] , [2, 5]             -0.074                         -0.668                          -6.453                             29.809            
Class 5 : [3, 5] , [3, 7]             -0.341                         0.051                          -61.502                             -65.307            
Class 6 : [7, 8] , [4, 6]             -0.056                         -0.004                          35.580                             -4.209            
Class 7 : [3, 5] , [2, 4]             -0.341                         0.029                          37.035                             1046.089            
Class 8 : [8, 5] , [8, 6]              0.052                         -0.077                          67.373                             106.537            
